,place_name,place_id,lat,lng,type,weekday,hour,moment_value,time
124,JCO Giant Pekan Baru,ChIJVTderE2p1TERWHFnz_Uyhb8,0.503537,101.43063599999999,cafe,tuesday,0,0,2019-05-07 00:00:00
125,Musholla Darun na'im Sukaramai,ChIJn2yrMxCs1TEROFCAcUSWFKE,0.5263436,101.44722890000001,mosque,tuesday,0,0,2019-05-07 00:00:00
126,MASJID NURUL AMAL,ChIJ856mJjOv1TERKQc3W9Pm4II,0.4663679999999999,101.4350536,mosque,tuesday,0,26,2019-05-07 00:00:00
127,Masjid Raudhatul Ma'ruf,ChIJpXK8dRGv1TER9PaCbZZjh4I,0.46533739999999996,101.4650411,mosque,tuesday,0,13,2019-05-07 00:00:00
128,Masjid Darul Aman,ChIJY0uQsJWo1TER4EbLhXlHOn8,0.45676300000000003,101.40902109999999,mosque,tuesday,0,2,2019-05-07 00:00:00
129,Klinik Pratama RUMAH ZAKAT,ChIJ7e4jIKiu1TERgapsJ66qz4A,0.5143400000000001,101.443855,doctor,tuesday,0,0,2019-05-07 00:00:00
130,"Doctor Raymond Widjajahakim, Sp. KK",ChIJHc26GQis1TERYnAhzXxbhF4,0.5256361999999999,101.43412959999999,doctor,tuesday,0,0,2019-05-07 00:00:00
131,Rumah Sakit Mata SMEC Pekanbaru,ChIJL1qmY9au1TERNTEegteoAXQ,0.4800504999999999,101.4391045,doctor,tuesday,0,0,2019-05-07 00:00:00
132,Klinik Narita,ChIJ39iOd5us1TERvOnPszR_FGQ,0.5638818999999999,101.44050949999999,doctor,tuesday,0,18,2019-05-07 00:00:00
133,Griya Satwa Pekanbaru,ChIJwXvyJ-yo1TERcQM8AiEcTj4,0.46546679999999996,101.4037327,doctor,tuesday,0,0,2019-05-07 00:00:00
134,Riona Dental Care,ChIJ34RN8luu1TERqat70t-fqDg,0.49926170000000003,101.4651126,dentist,tuesday,0,0,2019-05-07 00:00:00
135,"Praktek Dokter Gigi, drg. Agung T Prakoso Sp.BM, drg Diana Yuliarti, drg. Veni S. , Klinik Gigi Yassar",ChIJT_VHaoWs1TERutKEtnL8d3o,0.5604149999999999,101.444118,dentist,tuesday,0,0,2019-05-07 00:00:00
136,Klinik Narita,ChIJ39iOd5us1TERvOnPszR_FGQ,0.5638818999999999,101.44050949999999,dentist,tuesday,0,18,2019-05-07 00:00:00
137,Dokter Gigi Yuliana,ChIJ74AiS7Cu1TERZ8XkX1iIMZw,0.5047393,101.4425202,dentist,tuesday,0,0,2019-05-07 00:00:00
138,LUQYANA DENTAL CLINIC by. Drg Yuliana,ChIJyyfKSrCu1TEREbVHZCtZjek,0.5048328,101.4424539,dentist,tuesday,0,0,2019-05-07 00:00:00
139,Zala Futsal,ChIJW5zUaymv1TER7SQGj6JNt2Y,0.5049085999999999,101.4379532,gym,tuesday,0,0,2019-05-07 00:00:00
140,MAXX SALON FOR MEN (RUDY HADISUARNO),ChIJeablhtau1TERmhvb7Iw6mDw,0.4808061000000001,101.440224,hair_care,tuesday,0,0,2019-05-07 00:00:00
141,Omar Barbershop,ChIJwYFR6e6o1TER4aSbzo_pmpE,0.4660990999999999,101.4038227,hair_care,tuesday,0,0,2019-05-07 00:00:00
142,Pangkas rambut prima jaya,ChIJaWDw71mv1TERMdrBp54ebQ8,0.4452280999999999,101.44601740000002,hair_care,tuesday,0,0,2019-05-07 00:00:00
143,Rumah Sakit Mata SMEC Pekanbaru,ChIJL1qmY9au1TERNTEegteoAXQ,0.4800504999999999,101.4391045,hospital,tuesday,0,0,2019-05-07 00:00:00
144,Apotik Medika Pekanbaru,ChIJzUUKSAms1TERHrz-NzGnJXE,0.5283831,101.4383438,pharmacy,tuesday,0,0,2019-05-07 00:00:00
145,GUARDIAN - Giant Nangka,ChIJ7bGCVEyp1TERUBZTcYRcEGQ,0.5034773,101.4309036,pharmacy,tuesday,0,0,2019-05-07 00:00:00
146,Kimia Farma Nangka,ChIJh9iTKEyp1TERLFXNBbscPng,0.5031139,101.428442,pharmacy,tuesday,0,4,2019-05-07 00:00:00
147,Milagros Pekanbaru (Stokis Resmi),ChIJqQQ-7VGp1TERVDOfQL0qSSI,0.5071829000000001,101.4274189,pharmacy,tuesday,0,7,2019-05-07 00:00:00
148,Apotek Mandiri,ChIJ71mHKRKs1TERGiK99NMnwn8,0.5286059000000001,101.44771779999999,pharmacy,tuesday,0,0,2019-05-07 00:00:00
149,Apotek Kimia Farma Melur,ChIJZaJVnAWs1TERXCjTFQUcK6k,0.5281544,101.4342276,pharmacy,tuesday,0,0,2019-05-07 00:00:00
150,Apotek Trans,ChIJCT6Y-eKr1TEROfR-Hc-uMDw,0.5174228000000001,101.42126529999999,pharmacy,tuesday,0,0,2019-05-07 00:00:00
151,Apotek Kimia Farma,ChIJAQvyG_So1TERYVVc9OdCUoY,0.4644140000000001,101.40166049999999,pharmacy,tuesday,0,12,2019-05-07 00:00:00
152,Kimia Farma Apotek 596,ChIJCaeidEOo1TERl1DlVnrrZ0M,0.4638543999999999,101.3796536,pharmacy,tuesday,0,6,2019-05-07 00:00:00
153,Milagros Pekanbaru (Stokis Resmi),ChIJ4cvCMOWx1TERFXL8sAzf7pU,0.5054333,101.5343142,pharmacy,tuesday,0,33,2019-05-07 00:00:00
