,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
36,Happy Puppy Sudirman,ChIJrX9EVxKs1TERy1Pvkk4dJPA,0.4887462,101.4540202,bar,"[29, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6, 11, 17, 21, 24, 26, 29, 35, 42, 42, 35]","[22, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7, 14, 20, 22, 22, 24, 31, 45, 56, 55, 41]","[22, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 15, 22, 27, 29, 29, 28, 29, 36, 44, 46, 38]","[24, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 16, 24, 29, 27, 25, 27, 36, 48, 54, 51, 38]","[20, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 15, 23, 28, 29, 27, 27, 37, 57, 77, 80, 62]","[35, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 15, 30, 43, 46, 39, 34, 41, 63, 87, 100, 90]","[65, 37, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 12, 21, 30, 38, 41, 34, 27, 31, 46, 56, 49]"
37,Base Came Telkomsel,ChIJD83qBz2s1TERw0VjmFhUWHM,0.5268183000000001,101.45884790000001,bar,"[13, 10, 10, 8, 13, 19, 32, 52, 73, 84, 86, 78, 67, 58, 56, 56, 56, 54, 52, 47, 41, 36, 30, 23]","[17, 13, 10, 10, 13, 17, 30, 54, 80, 97, 95, 80, 60, 47, 43, 43, 43, 43, 43, 41, 36, 32, 28, 23]","[19, 15, 13, 10, 10, 13, 19, 32, 54, 69, 67, 52, 39, 34, 34, 34, 34, 32, 30, 28, 26, 23, 19, 17]","[15, 13, 10, 10, 8, 10, 21, 41, 60, 71, 71, 63, 56, 56, 56, 54, 50, 45, 39, 34, 32, 32, 30, 28]","[23, 19, 13, 10, 10, 15, 32, 63, 91, 100, 91, 80, 78, 80, 78, 69, 56, 43, 32, 26, 23, 23, 23, 23]","[21, 17, 15, 10, 8, 13, 28, 52, 76, 89, 80, 60, 41, 30, 26, 26, 26, 23, 21, 19, 15, 17, 21, 28]","[32, 28, 19, 10, 8, 6, 10, 23, 47, 60, 50, 34, 32, 36, 39, 34, 26, 19, 17, 15, 15, 13, 13, 13]"
38,Diva,ChIJIwAAAKut1TERMEdkrFnf_H4,0.4821602,101.4538266,bar,,,,,,,
39,XP Exclusive Club,ChIJMUrJGG2s1TERx9BN0PfJElE,0.5346531000000001,101.44778609999999,bar,,,,,,,
40,NEW PARAGON KTV POOL & CAFE,ChIJJX3PK2us1TERVOX4W6ETvQg,0.5347780999999999,101.45347740000001,bar,"[32, 37, 40, 53, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 5, 8, 13, 18, 24]","[32, 42, 49, 44, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 5, 8, 11, 14, 19, 25]","[33, 42, 46, 43, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 4, 7, 9, 12, 15, 19, 25]","[33, 41, 45, 41, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 4, 5, 6, 9, 13, 19, 23, 28]","[39, 56, 66, 57, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 4, 4, 5, 7, 12, 19, 28, 37]","[48, 62, 71, 67, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 4, 6, 10, 17, 25, 35]","[52, 79, 100, 93, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 4, 5, 7, 10, 15, 23]"
41,Ayank Square,ChIJ5VBWrHOs1TERXWHfCq2Gw7Y,0.5365924999999999,101.4422457,bar,,,,,,,
42,Bier Haus Cafe,ChIJxb7ZvvKr1TERKLhwjiUNnOc,0.5329904999999999,101.42378570000001,bar,"[18, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 6, 8, 10, 12, 15, 19, 21, 20]","[14, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 5, 7, 10, 12, 16, 22, 32, 37, 30]","[18, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 24, 22]","[16, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 5, 8, 15, 31, 46, 49, 42]","[30, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 6, 6, 9, 14, 24, 36, 45, 48, 44]","[32, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 3, 3, 6, 19, 48, 82, 100, 96]","[78, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 5, 8, 10, 13, 16, 22, 29, 32, 28]"
43,Inul Vista,ChIJyxyJWHOp1TER6I74rNgRpBU,0.4976277,101.3942322,bar,,,,,,,
44,Kontrakan Simus (Beskem),ChIJTYT2o_io1TERjRk0pbXReug,0.4728764999999999,101.3889193,bar,,,,,,,
45,KK milk shake,ChIJM5hq6-HE1TERdmGvwYaqDbo,0.4025154999999999,101.8629884,bar,,,,,,,
