,place_name,place_id,lat,lng,type
129,Masjid Jami' Abu Ad Darda',ChIJW8XfXVio1TERhzYA4hHThrM,0.4671123,101.3869895,mosque
130,Al-Wihdah Islamic Center,ChIJibpIXnmo1TERX7jHcEjADvg,0.4458299000000001,101.3815137,mosque
131,Mushala At Taqwa,ChIJF_ID4S2m1TERKPDRe_7QLKQ,0.433528,101.3945084,mosque
132,Focus Clinical Laboratory,ChIJJbprPAKs1TERhE5g-7qVHhU,0.5166185999999999,101.4405257,doctor
133,Persatuan Dokter Spesialis Mata Indonesia,ChIJeyFuFhms1TER5WUAa91HbPk,0.5212,101.452771,doctor
134,Praktek Dokter Ali Sahman Lubis,ChIJzxR7C7qu1TERnC15v1etNm0,0.5024769,101.4455988,doctor
135,Klinik Pratama RUMAH ZAKAT,ChIJ7e4jIKiu1TERgapsJ66qz4A,0.5143400000000001,101.443855,doctor
136,Ikatan Bidan Indonesia PROVINSI RIAU,ChIJk8a_ah6s1TERMbsPQmR5BjE,0.5165415,101.4522891,doctor
137,Klinik AZ Dental Care,ChIJB4WC3KOu1TERm7SHtfhsdUE,0.5109564,101.458693,doctor
138,homeopati indonesia,ChIJuyMEQMSu1TERBtLuLxT365Q,0.4909895,101.4495022,doctor
139,Perhimpunan Dokter Spesialis Kardiovaskular Indonesia (Perki),ChIJQ0VN5hms1TERM9iJQFaXFCk,0.524107,101.45219,doctor
140,dr. Sugeng Riyadi,ChIJj43hbyes1TERJfPIsyYJqys,0.5159279999999999,101.4644329,doctor
141,Praktek dr. Zelfia Riyelly,ChIJ5WaDjeyu1TER2gDfjNhFyoA,0.4950043,101.4635316,doctor
142,"Doctor Raymond Widjajahakim, Sp. KK",ChIJHc26GQis1TERYnAhzXxbhF4,0.5256362,101.4341296,doctor
143,Rumah Khitan Dokter Wawan,ChIJFYnofdSu1TERO-bIGa4CZMk,0.4848785999999999,101.4367632,doctor
144,Rumah Sakit Mata SMEC Pekanbaru,ChIJL1qmY9au1TERNTEegteoAXQ,0.4800504999999999,101.4391045,doctor
145,"Alfian. dr, SpOG",ChIJfcDJEj-v1TER_06jhJYtUbI,0.4685954,101.4545202,doctor
146,Klinik Box Dental Care drg. Liariza Sativa Sembiring,ChIJd46A5umo1TER2Qzpe5MQj9w,0.4653425999999999,101.4106768,doctor
147,Klinik Narita,ChIJ39iOd5us1TERvOnPszR_FGQ,0.5638818999999999,101.4405095,doctor
148,Griya Satwa Pekanbaru,ChIJwXvyJ-yo1TERcQM8AiEcTj4,0.4654668,101.4037327,doctor
149,Klinik Drg Monika Oktaviani,ChIJvUZ_K5Ko1TERTQG5zVUozt4,0.4634367,101.4017463,doctor
150,Praktek drg.Muhammad Rizki,ChIJrTY54K6o1TERTMzqsD9pSsg,0.4471448,101.4251792,doctor
151,Ikatan Psikologi Klinis (IPK),ChIJnZxBwEKo1TERjMucREQFa9o,0.4611311,101.3758385,doctor
152,Uda Carlos,ChIJndYR7-eh1TERT0ItbUmFOew,0.3021954,101.4121372,doctor
153,Dermaze.id Mall SKA Pekanbaru,ChIJpct4IaWu1TERmKN7EXRW84M,0.5070677,101.4477792,doctor
154,Klinik Luckfy,ChIJpct4IaWu1TERj8VPiCBvvQY,0.5070677,101.4477792,doctor
155,Klinik Dokter Suryo,ChIJu8t4IaWu1TEROr7ezkL6wMU,0.5070677,101.4477793,doctor
156,Klinik Sehat Alami,ChIJu8t4IaWu1TERctyA2EfPQzQ,0.5070677,101.4477793,doctor
157,klinik dr jazil,ChIJ4U6HIAmv1TER4GUL4CjDjjo,0.5050068000000001,101.4470981,doctor
158,Taskurun Laundry,ChIJqYRbV6Wu1TERf3uSNBoRL3U,0.5066168000000001,101.4455627,doctor
159,Dokter Gigi Sorna,ChIJhXCbpbqu1TERTV2hUosnDgo,0.5054485,101.4457597,doctor
160,Dr. Marina,ChIJAQ5MgKSu1TERfrIlBBmfC38,0.50824,101.450837,doctor
161,Doktor Flemming. W,ChIJoSoHVa6u1TERCeRn36VFdgE,0.5077986,101.4423204,doctor
162,Rumah Sehat Alwend By NuSkin,ChIJd8EJ27yu1TERnrIddaVrDoU,0.5052774,101.4532534,doctor
163,Praktek Dokter Gusrianti,ChIJL5EzyrGu1TERPKEFizEdhkw,0.505045,101.44214,doctor
164,K ION NANO ORIGINAL,ChIJXU8pCg-v1TERI7_CZsppvoQ,0.5117831,101.4438124,doctor
165,BudeSumUrut,ChIJGdgGnauv1TERt4M6Ar4LjlM,0.5041412,101.4539853,doctor
166,BudeSumUrut,ChIJIXCFUwiv1TERdHBaAThQPKw,0.5041097,101.4540229,doctor
167,Rumah Bersalin Dan Balai Pengobatan Umum,ChIJdX1vy66u1TEREEMbyQ5jK8M,0.5105932,101.4413228,doctor
168,Praktek Umum,ChIJeWZ8Z6iu1TERQhmizEBWEIk,0.5134229999999999,101.44387,doctor
169,Praktek Dokter Umum,ChIJ_1svBbmu1TERrLCoI6g3aB8,0.4995677999999998,101.4487781,doctor
170,"Dr. Ratna, Sp. PD",ChIJS_-4eciv1TERofmiJfP9b1A,0.5145718,101.4449294,doctor
171,Drg. Elvi Triana Reswita,ChIJTTEDfB2s1TERwqP7W5-KjBs,0.5155776999999999,101.447741,doctor
172,STOKIS PT. MELIANATURE INDONESIA,ChIJ3agL9kap1TERwU_lOU4zagY,0.500022,101.4196171,dentist
173,"Praktek Ortodonti Kartini (drg. Wetti Lena, Sp.Ort)",ChIJzX114hus1TERXK5UaoAcTl8,0.52078,101.4509925,dentist
174,Riona Dental Care,ChIJ34RN8luu1TERqat70t-fqDg,0.4992617,101.4651126,dentist
175,klinik periodonsia Pekanbaru ( drg Mutiara Harvia Dewi Sp.Perio),ChIJHSxbe1Gp1TERmMRe0jKe0u0,0.5089437,101.427839,dentist
176,Klinik Pratama Sentral Medikal Utama,ChIJUTnwL_2r1TERh_i7swqcKVg,0.5171468,101.4232288,dentist
177,Drg. Tensy Aryanti Tambunan,ChIJfWUEKQ2s1TERTUFpkvUuFhA,0.5336574,101.4419147,dentist
178,"Praktek Dokter Gigi, drg. Agung T Prakoso Sp.BM, drg Diana Yuliarti, drg. Veni S. , Klinik Gigi Yassar",ChIJT_VHaoWs1TERutKEtnL8d3o,0.5604149999999999,101.444118,dentist
179,Klinik Narita,ChIJ39iOd5us1TERvOnPszR_FGQ,0.5638818999999999,101.4405095,dentist
